,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Unnamed: 13_level_0
110,108,Alex Smith,SFO,28,QB,10,9,31,132,0,24,4.3,13.2,3
111,109,Joe McKnight,NYJ,24,,15,0,30,179,0,61,6.0,11.9,3
112,110,Tony Romo,DAL,32,QB,16,16,30,49,1,15,1.6,3.1,6
113,111,Kahlil Bell,2TM,26,,7,0,29,76,0,18,2.6,10.9,1
114,112,Armando Allen,CHI,23,,15,0,27,124,1,46,4.6,8.3,0
115,113,Matt Cassel,KAN,30,QB,9,8,27,145,1,21,5.4,16.1,8
116,114,LaMichael James,SFO,23,,4,0,27,125,0,26,4.6,31.3,1
117,115,Philip Rivers,SDG,31,QB,16,16,27,40,0,11,1.5,2.5,15
118,116,Brandon Weeden,CLE,29,QB,15,15,27,111,0,25,4.1,7.4,6
119,117,Chris Rainey,PIT,24,,16,0,26,102,2,19,3.9,6.4,4
120,118,Ben Roethlisberger,PIT,30,QB,13,13,26,92,0,14,3.5,7.1,6
121,119,Baron Batch,PIT,25,,12,0,25,49,1,10,2.0,4.1,0
122,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
123,120,Jeremy Stewart,OAK,23,,4,0,25,101,0,14,4.0,25.3,0
124,121,Phillip Tanner,DAL,24,,14,0,25,61,0,9,2.4,4.4,0
125,122,Tom Brady*,NWE,35,QB,16,16,23,32,4,7,1.4,2.0,2
126,123,John Kuhn,GNB,30,fb,14,3,23,63,1,9,2.7,4.5,0
127,124,Peyton Manning*+,DEN,36,QB,16,16,23,6,0,10,0.3,0.4,2
128,125,Richard Murphy,JAX,26,,5,0,23,92,0,14,4.0,18.4,0
129,126,Evan Royster,WAS,25,,16,0,23,88,2,12,3.8,5.5,0
130,127,Leon Washington*,SEA,30,,16,0,23,83,1,14,3.6,5.2,2
